view,prot_dim,comp_dim,hdims,graph_dim,kaiming_constant,dprob,tr_batch_size,val_batch_size,test_batch_size,optimizer,optimizer__global__weight_decay,optimizer__global__lr,optimizer__sgd__nesterov,optimizer__sgd__momentum,optimizer__adam__amsgrad,optimizer__adadelta__rho,optimizer__adagrad__lr_decay,optimizer__rmsprop__momentum,score
weave,8421,1024,"[3616, 382, 4531]",160,5,0.1640379652236322,512,512,512,adamax,0.0005157268634913182,0.00047778153018807295,True,0.09845754168974598,False,0.0013223799841309055,0.00023321761901480895,0.001238286244647923,0.10935577625859287
weave,8421,1024,"[3616, 382, 4531]",160,5,0.1640379652236322,512,512,512,adamax,0.0005157268634913182,0.00047778153018807295,True,0.09845754168974598,False,0.0013223799841309055,0.00023321761901480895,0.001238286244647923,0.10054854935577577
weave,8421,1024,"[3616, 382, 4531]",160,5,0.1640379652236322,512,512,512,adamax,0.0005157268634913182,0.00047778153018807295,True,0.09845754168974598,False,0.0013223799841309055,0.00023321761901480895,0.001238286244647923,0.07624841859653925
weave,8421,1024,[2944],380,5,0.039220066263211575,512,512,512,adamax,0.0003481136160761598,0.0005583132819412679,True,0.0018348955222781836,True,0.897009087164606,0.00011107614360501992,0.047190321891271446,0.06568910452097038
weave,8421,1024,"[3616, 382, 4531]",160,5,0.1640379652236322,512,512,512,adamax,0.0005157268634913182,0.00047778153018807295,True,0.09845754168974598,False,0.0013223799841309055,0.00023321761901480895,0.001238286244647923,0.05720228057289657
weave,8421,1024,[2944],380,5,0.039220066263211575,512,512,512,adamax,0.0003481136160761598,0.0005583132819412679,True,0.0018348955222781836,True,0.897009087164606,0.00011107614360501992,0.047190321891271446,0.052851724488152285
weave,8421,1024,[2944],380,5,0.039220066263211575,512,512,512,adamax,0.0003481136160761598,0.0005583132819412679,True,0.0018348955222781836,True,0.897009087164606,0.00011107614360501992,0.047190321891271446,0.05087477223947803
weave,8421,1024,"[1122, 653, 4644]",302,5,0.025572084576224074,128,512,512,adamax,0.003698789919519203,0.000375763169417052,False,0.00019280372704273243,False,0.0021868088142190313,0.05579257990039718,0.022148658490115127,0.04906020351389093
weave,8421,1024,[2944],380,5,0.039220066263211575,512,512,512,adamax,0.0003481136160761598,0.0005583132819412679,True,0.0018348955222781836,True,0.897009087164606,0.00011107614360501992,0.047190321891271446,0.036093828519674416
weave,8421,1024,"[3616, 382, 4531]",160,5,0.1640379652236322,512,512,512,adamax,0.0005157268634913182,0.00047778153018807295,True,0.09845754168974598,False,0.0013223799841309055,0.00023321761901480895,0.001238286244647923,0.034307710836693595
weave,8421,1024,[2944],380,5,0.039220066263211575,512,512,512,adamax,0.0003481136160761598,0.0005583132819412679,True,0.0018348955222781836,True,0.897009087164606,0.00011107614360501992,0.047190321891271446,0.030558651943865436
weave,8421,1024,"[4035, 716, 1751]",395,5,0.19756631992171947,512,512,512,rmsprop,0.0031018685180771288,0.00011710413799646355,True,0.2831084822531329,False,0.0031897218531291983,0.06357072700556034,0.00015158966740252855,-0.003369364447655079
weave,8421,1024,"[1122, 653, 4644]",302,5,0.025572084576224074,128,512,512,adamax,0.003698789919519203,0.000375763169417052,False,0.00019280372704273243,False,0.0021868088142190313,0.05579257990039718,0.022148658490115127,-0.004572067335400512
weave,8421,1024,"[4035, 716, 1751]",395,5,0.19756631992171947,512,512,512,rmsprop,0.0031018685180771288,0.00011710413799646355,True,0.2831084822531329,False,0.0031897218531291983,0.06357072700556034,0.00015158966740252855,-0.028826028757234563
weave,8421,1024,"[4035, 716, 1751]",395,5,0.19756631992171947,512,512,512,rmsprop,0.0031018685180771288,0.00011710413799646355,True,0.2831084822531329,False,0.0031897218531291983,0.06357072700556034,0.00015158966740252855,-0.0388757129067081
weave,8421,1024,"[1122, 653, 4644]",302,5,0.025572084576224074,128,512,512,adamax,0.003698789919519203,0.000375763169417052,False,0.00019280372704273243,False,0.0021868088142190313,0.05579257990039718,0.022148658490115127,-0.03889526959660605
weave,8421,1024,[3635],396,5,0.051934725154440406,128,512,512,adagrad,0.003127560411392145,0.0008670646903645825,False,0.11587341344488475,False,0.00012939807637203838,0.0004961649309025573,0.0004133604938397395,-0.04275806276170988
weave,8421,1024,"[1122, 653, 4644]",302,5,0.025572084576224074,128,512,512,adamax,0.003698789919519203,0.000375763169417052,False,0.00019280372704273243,False,0.0021868088142190313,0.05579257990039718,0.022148658490115127,-0.04718285957342892
weave,8421,1024,"[1122, 653, 4644]",302,5,0.025572084576224074,128,512,512,adamax,0.003698789919519203,0.000375763169417052,False,0.00019280372704273243,False,0.0021868088142190313,0.05579257990039718,0.022148658490115127,-0.04777973503510257
weave,8421,1024,[3635],396,5,0.051934725154440406,128,512,512,adagrad,0.003127560411392145,0.0008670646903645825,False,0.11587341344488475,False,0.00012939807637203838,0.0004961649309025573,0.0004133604938397395,-0.05777236940183218
weave,8421,1024,[3635],396,5,0.051934725154440406,128,512,512,adagrad,0.003127560411392145,0.0008670646903645825,False,0.11587341344488475,False,0.00012939807637203838,0.0004961649309025573,0.0004133604938397395,-0.07171801126672465
weave,8421,1024,"[3353, 4983]",320,5,0.018814689217702577,64,512,512,adamax,0.00032842080542611215,0.00018374284923833962,False,0.0009251748422518496,False,0.0006193610869334461,0.00011946723899411604,0.00034833249145364766,-0.08860062862176075
weave,8421,1024,[3635],396,5,0.051934725154440406,128,512,512,adagrad,0.003127560411392145,0.0008670646903645825,False,0.11587341344488475,False,0.00012939807637203838,0.0004961649309025573,0.0004133604938397395,-0.09643169725390884
weave,8421,1024,[3635],396,5,0.051934725154440406,128,512,512,adagrad,0.003127560411392145,0.0008670646903645825,False,0.11587341344488475,False,0.00012939807637203838,0.0004961649309025573,0.0004133604938397395,-0.10283335018774921
