attn_heads,attn_layers,lin_dims,output_dim,latent_dim,kaiming_constant,dprob,tr_batch_size,val_batch_size,test_batch_size,optimizer,optimizer__global__weight_decay,optimizer__global__lr,prot,weave,gconv,ecfp8,gnn,score
8,2,[1302],1,256,5,0.18884981901414996,128,128,128,adadelta,0.00024248732453026716,0.4106583576251872,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 1, 'embedding_dim': 29, 'psc_dim': 8421, 'rnn_hidden_state_dim': 9}",{'update_pairs': False},{'dim': 475},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 4, 'dim': 198}",0.05946790321305834
2,2,"[1992, 241]",1,256,5,0.3162853068004974,128,128,128,adamax,0.0004087995446724508,0.0026641572671298485,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 1, 'embedding_dim': 36, 'psc_dim': 8421, 'rnn_hidden_state_dim': 36}",{'update_pairs': False},{'dim': 501},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 193}",0.04648399978267069
2,3,"[1756, 334, 1395]",1,256,5,0.1619884824536622,128,128,128,adadelta,0.0007206883168910365,0.8049648553619331,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 4, 'embedding_dim': 32, 'psc_dim': 8421, 'rnn_hidden_state_dim': 39}",{'update_pairs': False},{'dim': 185},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 3, 'dim': 397}",0.045824220125318435
4,2,[1236],1,256,5,0.2070867202062167,256,128,128,adadelta,0.0005167140271759563,0.011714675531311176,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 4, 'embedding_dim': 12, 'psc_dim': 8421, 'rnn_hidden_state_dim': 9}",{'update_pairs': False},{'dim': 365},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 3, 'dim': 149}",0.04275212862635199
4,2,[1236],1,256,5,0.2070867202062167,256,128,128,adadelta,0.0005167140271759563,0.011714675531311176,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 4, 'embedding_dim': 12, 'psc_dim': 8421, 'rnn_hidden_state_dim': 9}",{'update_pairs': False},{'dim': 365},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 3, 'dim': 149}",0.015888391186085787
16,2,"[1541, 645, 381]",1,256,5,0.44064854482022886,256,128,128,adadelta,0.006947104390402268,0.029059920519867097,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 3, 'embedding_dim': 48, 'psc_dim': 8421, 'rnn_hidden_state_dim': 35}",{'update_pairs': False},{'dim': 248},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 482}",0.004985878420539967
2,2,"[399, 756, 888]",1,256,5,0.46163485819470385,256,128,128,adagrad,0.00938426357068771,0.0048043943445570765,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 2, 'embedding_dim': 8, 'psc_dim': 8421, 'rnn_hidden_state_dim': 27}",{'update_pairs': False},{'dim': 497},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 1, 'dim': 377}",-0.057977703552655385
2,3,"[1041, 734]",1,512,5,0.2951666667059234,128,128,128,adamax,0.009213854127024598,0.000617910767845049,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 2, 'embedding_dim': 15, 'psc_dim': 8421, 'rnn_hidden_state_dim': 22}",{'update_pairs': False},{'dim': 469},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 3, 'dim': 192}",-0.07503859863694282
2,3,"[1041, 734]",1,512,5,0.2951666667059234,128,128,128,adamax,0.009213854127024598,0.000617910767845049,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 2, 'embedding_dim': 15, 'psc_dim': 8421, 'rnn_hidden_state_dim': 22}",{'update_pairs': False},{'dim': 469},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 3, 'dim': 192}",-0.09252433419497447
2,1,[987],1,512,5,0.3596496299207619,256,128,128,adagrad,0.004116490838982238,0.021441375554078275,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 4, 'embedding_dim': 23, 'psc_dim': 8421, 'rnn_hidden_state_dim': 25}",{'update_pairs': False},{'dim': 386},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 488}",-0.09324975398407288
2,3,"[485, 1086]",1,256,5,0.47361754940321454,128,128,128,adadelta,0.00016346734933172613,0.4011465571366191,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 3, 'embedding_dim': 25, 'psc_dim': 8421, 'rnn_hidden_state_dim': 12}",{'update_pairs': False},{'dim': 489},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 1, 'dim': 233}",-0.10979589444882189
4,1,"[1538, 445]",1,256,5,0.3032990150269157,128,128,128,sgd,0.011897275088709415,0.0004887799795976465,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 2, 'embedding_dim': 10, 'psc_dim': 8421, 'rnn_hidden_state_dim': 28}",{'update_pairs': False},{'dim': 110},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 168}",-0.11046977565625608
4,2,"[1962, 582]",1,512,5,0.47997525541305597,128,128,128,adagrad,0.115329502276729,0.00015183885296158827,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 1, 'embedding_dim': 41, 'psc_dim': 8421, 'rnn_hidden_state_dim': 6}",{'update_pairs': False},{'dim': 460},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 3, 'dim': 265}",-0.1314676525175955
4,1,"[1538, 445]",1,256,5,0.3032990150269157,128,128,128,sgd,0.011897275088709415,0.0004887799795976465,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 2, 'embedding_dim': 10, 'psc_dim': 8421, 'rnn_hidden_state_dim': 28}",{'update_pairs': False},{'dim': 110},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 168}",-0.13549385295122546
4,2,"[1962, 582]",1,512,5,0.47997525541305597,128,128,128,adagrad,0.115329502276729,0.00015183885296158827,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 1, 'embedding_dim': 41, 'psc_dim': 8421, 'rnn_hidden_state_dim': 6}",{'update_pairs': False},{'dim': 460},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 3, 'dim': 265}",-0.15130932969738417
2,3,"[485, 1086]",1,256,5,0.47361754940321454,128,128,128,adadelta,0.00016346734933172613,0.4011465571366191,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 3, 'embedding_dim': 25, 'psc_dim': 8421, 'rnn_hidden_state_dim': 12}",{'update_pairs': False},{'dim': 489},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 1, 'dim': 233}",-0.1672821227831447
8,3,[1228],1,256,5,0.11248389314157967,128,128,128,adamax,0.0005731147865194533,0.005775724476259246,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 3, 'embedding_dim': 31, 'psc_dim': 8421, 'rnn_hidden_state_dim': 41}",{'update_pairs': False},{'dim': 480},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 3, 'dim': 384}",-0.19417127568208595
16,2,[1471],1,256,5,0.3546876380803923,128,128,128,sgd,0.34571468353233836,0.0011761631543008176,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 2, 'embedding_dim': 11, 'psc_dim': 8421, 'rnn_hidden_state_dim': 32}",{'update_pairs': False},{'dim': 279},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 327}",-0.20586463342692604
16,3,"[135, 1362]",1,256,5,0.24432590177089114,128,128,128,sgd,0.00040602112814301975,0.0004430717892527261,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 4, 'embedding_dim': 22, 'psc_dim': 8421, 'rnn_hidden_state_dim': 7}",{'update_pairs': False},{'dim': 396},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 156}",-0.21557216271188986
16,3,"[135, 1362]",1,256,5,0.24432590177089114,128,128,128,sgd,0.00040602112814301975,0.0004430717892527261,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 4, 'embedding_dim': 22, 'psc_dim': 8421, 'rnn_hidden_state_dim': 7}",{'update_pairs': False},{'dim': 396},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 156}",-0.22637452701409458
2,3,"[149, 686, 890]",1,512,5,0.25027667137379994,256,128,128,adagrad,0.011208721017288774,0.0007362042864822378,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 3, 'embedding_dim': 46, 'psc_dim': 8421, 'rnn_hidden_state_dim': 25}",{'update_pairs': False},{'dim': 306},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 1, 'dim': 122}",-0.24007427884598298
8,1,"[1902, 2014, 1731]",1,512,5,0.3128294924030026,128,128,128,adam,0.005455951919769396,0.006889127998816375,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 1, 'embedding_dim': 41, 'psc_dim': 8421, 'rnn_hidden_state_dim': 5}",{'update_pairs': False},{'dim': 210},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 4, 'dim': 217}",-0.26438968467095386
8,2,"[839, 444]",1,512,5,0.20383372187772925,256,128,128,adadelta,0.028499086322351586,0.36135460615688636,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 4, 'embedding_dim': 22, 'psc_dim': 8421, 'rnn_hidden_state_dim': 17}",{'update_pairs': False},{'dim': 223},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 1, 'dim': 158}",-0.27843731285751083
16,2,[246],1,256,5,0.4251979881543896,128,128,128,adamax,0.028300386771202637,0.005100811831211928,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 3, 'embedding_dim': 24, 'psc_dim': 8421, 'rnn_hidden_state_dim': 24}",{'update_pairs': False},{'dim': 226},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 1, 'dim': 484}",-0.3198660160754287
16,2,[1220],1,512,5,0.2108167000591302,128,128,128,adadelta,0.11291113777098745,0.004720087203389534,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 1, 'embedding_dim': 21, 'psc_dim': 8421, 'rnn_hidden_state_dim': 41}",{'update_pairs': False},{'dim': 199},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 488}",-0.3289378215558424
16,2,"[1109, 71]",1,256,5,0.2534956452773003,128,128,128,adam,0.00040954161911170426,0.002082356327643187,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 3, 'embedding_dim': 24, 'psc_dim': 8421, 'rnn_hidden_state_dim': 14}",{'update_pairs': False},{'dim': 327},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 3, 'dim': 266}",-0.3318108197688989
1,3,[548],1,512,5,0.33306798258375975,256,128,128,adadelta,0.41361106280042725,0.0387286290237642,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 2, 'embedding_dim': 24, 'psc_dim': 8421, 'rnn_hidden_state_dim': 43}",{'update_pairs': False},{'dim': 299},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 4, 'dim': 349}",-0.3546098691855906
16,3,"[1356, 143, 1679]",1,512,5,0.2821129867951942,256,128,128,sgd,0.00038382298970227274,0.010843137252669636,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 2, 'embedding_dim': 46, 'psc_dim': 8421, 'rnn_hidden_state_dim': 26}",{'update_pairs': False},{'dim': 123},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 3, 'dim': 159}",-0.3575945164746578
4,3,"[1745, 1649]",1,512,5,0.4639814708235811,128,128,128,adam,0.000425629951373882,0.576189808945051,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 1, 'embedding_dim': 35, 'psc_dim': 8421, 'rnn_hidden_state_dim': 6}",{'update_pairs': False},{'dim': 97},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 248}",-0.3590441592512457
