attn_heads,attn_layers,lin_dims,output_dim,latent_dim,kaiming_constant,dprob,tr_batch_size,val_batch_size,test_batch_size,optimizer,optimizer__global__weight_decay,optimizer__global__lr,prot,weave,gconv,ecfp8,gnn,score
8,1,"[991, 177]",1,512,5,0.32586594058722185,128,128,128,adadelta,0.00023998559272070004,0.011127527154406873,"{'model_types': ['psc', 'pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 1, 'embedding_dim': 6, 'psc_dim': 8421, 'rnn_hidden_state_dim': 29}",{'update_pairs': False},{'dim': 250},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 3, 'dim': 307}",-0.0056601733540240385
2,3,"[968, 139]",1,256,5,0.110536718604638,128,128,128,adam,0.00013483866543835763,0.00043399475240977825,"{'model_types': ['psc', 'pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 4, 'embedding_dim': 17, 'psc_dim': 8421, 'rnn_hidden_state_dim': 41}",{'update_pairs': False},{'dim': 314},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 3, 'dim': 405}",-0.007098738250021848
8,1,"[1689, 1776]",1,256,5,0.22861355974758146,128,128,128,adagrad,0.006306117317221979,0.000612974508988688,"{'model_types': ['psc', 'pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 3, 'embedding_dim': 33, 'psc_dim': 8421, 'rnn_hidden_state_dim': 35}",{'update_pairs': False},{'dim': 72},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 149}",-0.01158917527289622
8,1,"[1689, 1776]",1,256,5,0.22861355974758146,128,128,128,adagrad,0.006306117317221979,0.000612974508988688,"{'model_types': ['psc', 'pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 3, 'embedding_dim': 33, 'psc_dim': 8421, 'rnn_hidden_state_dim': 35}",{'update_pairs': False},{'dim': 72},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 149}",-0.01240545168364396
2,3,"[1756, 334, 1395]",1,256,5,0.1619884824536622,128,128,128,adadelta,0.0007206883168910365,0.8049648553619331,"{'model_types': ['psc', 'pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 4, 'embedding_dim': 32, 'psc_dim': 8421, 'rnn_hidden_state_dim': 39}",{'update_pairs': False},{'dim': 185},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 3, 'dim': 397}",-0.01650770630271765
2,3,"[968, 139]",1,256,5,0.110536718604638,128,128,128,adam,0.00013483866543835763,0.00043399475240977825,"{'model_types': ['psc', 'pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 4, 'embedding_dim': 17, 'psc_dim': 8421, 'rnn_hidden_state_dim': 41}",{'update_pairs': False},{'dim': 314},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 3, 'dim': 405}",-0.01951770581794608
8,1,"[1689, 1776]",1,256,5,0.22861355974758146,128,128,128,adagrad,0.006306117317221979,0.000612974508988688,"{'model_types': ['psc', 'pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 3, 'embedding_dim': 33, 'psc_dim': 8421, 'rnn_hidden_state_dim': 35}",{'update_pairs': False},{'dim': 72},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 149}",-0.020190424410011135
1,1,[178],1,512,5,0.4988328213377454,128,128,128,adagrad,0.0022204581601105895,0.0030605219161407952,"{'model_types': ['psc', 'pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 2, 'embedding_dim': 21, 'psc_dim': 8421, 'rnn_hidden_state_dim': 16}",{'update_pairs': False},{'dim': 330},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 4, 'dim': 153}",-0.028998126441174436
1,1,[178],1,512,5,0.4988328213377454,128,128,128,adagrad,0.0022204581601105895,0.0030605219161407952,"{'model_types': ['psc', 'pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 2, 'embedding_dim': 21, 'psc_dim': 8421, 'rnn_hidden_state_dim': 16}",{'update_pairs': False},{'dim': 330},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 4, 'dim': 153}",-0.03029273830865656
8,1,"[991, 177]",1,512,5,0.32586594058722185,128,128,128,adadelta,0.00023998559272070004,0.011127527154406873,"{'model_types': ['psc', 'pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 1, 'embedding_dim': 6, 'psc_dim': 8421, 'rnn_hidden_state_dim': 29}",{'update_pairs': False},{'dim': 250},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 3, 'dim': 307}",-0.03780353832373791
2,3,"[968, 139]",1,256,5,0.110536718604638,128,128,128,adam,0.00013483866543835763,0.00043399475240977825,"{'model_types': ['psc', 'pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 4, 'embedding_dim': 17, 'psc_dim': 8421, 'rnn_hidden_state_dim': 41}",{'update_pairs': False},{'dim': 314},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 3, 'dim': 405}",-0.04221794897940557
1,1,[178],1,512,5,0.4988328213377454,128,128,128,adagrad,0.0022204581601105895,0.0030605219161407952,"{'model_types': ['psc', 'pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 2, 'embedding_dim': 21, 'psc_dim': 8421, 'rnn_hidden_state_dim': 16}",{'update_pairs': False},{'dim': 330},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 4, 'dim': 153}",-0.049532532832515866
8,1,"[991, 177]",1,512,5,0.32586594058722185,128,128,128,adadelta,0.00023998559272070004,0.011127527154406873,"{'model_types': ['psc', 'pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 1, 'embedding_dim': 6, 'psc_dim': 8421, 'rnn_hidden_state_dim': 29}",{'update_pairs': False},{'dim': 250},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 3, 'dim': 307}",-0.0537575494119111
2,3,"[485, 1086]",1,256,5,0.47361754940321454,128,128,128,adadelta,0.00016346734933172613,0.4011465571366191,"{'model_types': ['psc', 'pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 3, 'embedding_dim': 25, 'psc_dim': 8421, 'rnn_hidden_state_dim': 12}",{'update_pairs': False},{'dim': 489},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 1, 'dim': 233}",-0.0681137534169228
2,3,"[485, 1086]",1,256,5,0.47361754940321454,128,128,128,adadelta,0.00016346734933172613,0.4011465571366191,"{'model_types': ['psc', 'pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 3, 'embedding_dim': 25, 'psc_dim': 8421, 'rnn_hidden_state_dim': 12}",{'update_pairs': False},{'dim': 489},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 1, 'dim': 233}",-0.07685973355545819
2,1,[987],1,512,5,0.3596496299207619,256,128,128,adagrad,0.004116490838982238,0.021441375554078275,"{'model_types': ['psc', 'pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 4, 'embedding_dim': 23, 'psc_dim': 8421, 'rnn_hidden_state_dim': 25}",{'update_pairs': False},{'dim': 386},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 488}",-0.07803560948430861
2,3,"[1756, 334, 1395]",1,256,5,0.1619884824536622,128,128,128,adadelta,0.0007206883168910365,0.8049648553619331,"{'model_types': ['psc', 'pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 4, 'embedding_dim': 32, 'psc_dim': 8421, 'rnn_hidden_state_dim': 39}",{'update_pairs': False},{'dim': 185},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 3, 'dim': 397}",-0.08417719454351627
2,1,[987],1,512,5,0.3596496299207619,256,128,128,adagrad,0.004116490838982238,0.021441375554078275,"{'model_types': ['psc', 'pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 4, 'embedding_dim': 23, 'psc_dim': 8421, 'rnn_hidden_state_dim': 25}",{'update_pairs': False},{'dim': 386},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 488}",-0.09392992535880937
8,1,"[991, 177]",1,512,5,0.32586594058722185,128,128,128,adadelta,0.00023998559272070004,0.011127527154406873,"{'model_types': ['psc', 'pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 1, 'embedding_dim': 6, 'psc_dim': 8421, 'rnn_hidden_state_dim': 29}",{'update_pairs': False},{'dim': 250},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 3, 'dim': 307}",-0.0971515361568027
1,1,[1752],1,512,5,0.3924236498420166,256,128,128,adadelta,0.008161982277354067,0.005175682864730678,"{'model_types': ['psc', 'pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 4, 'embedding_dim': 48, 'psc_dim': 8421, 'rnn_hidden_state_dim': 47}",{'update_pairs': False},{'dim': 473},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 140}",-0.10197475534745873
2,3,"[1756, 334, 1395]",1,256,5,0.1619884824536622,128,128,128,adadelta,0.0007206883168910365,0.8049648553619331,"{'model_types': ['psc', 'pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 4, 'embedding_dim': 32, 'psc_dim': 8421, 'rnn_hidden_state_dim': 39}",{'update_pairs': False},{'dim': 185},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 3, 'dim': 397}",-0.10721681355353757
1,1,[1752],1,512,5,0.3924236498420166,256,128,128,adadelta,0.008161982277354067,0.005175682864730678,"{'model_types': ['psc', 'pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 4, 'embedding_dim': 48, 'psc_dim': 8421, 'rnn_hidden_state_dim': 47}",{'update_pairs': False},{'dim': 473},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 140}",-0.11434293115424086
2,1,[987],1,512,5,0.3596496299207619,256,128,128,adagrad,0.004116490838982238,0.021441375554078275,"{'model_types': ['psc', 'pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 4, 'embedding_dim': 23, 'psc_dim': 8421, 'rnn_hidden_state_dim': 25}",{'update_pairs': False},{'dim': 386},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 488}",-0.11585301050304052
2,1,[987],1,512,5,0.3596496299207619,256,128,128,adagrad,0.004116490838982238,0.021441375554078275,"{'model_types': ['psc', 'pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 4, 'embedding_dim': 23, 'psc_dim': 8421, 'rnn_hidden_state_dim': 25}",{'update_pairs': False},{'dim': 386},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 488}",-0.12001488883440457
