attn_heads,attn_layers,lin_dims,output_dim,latent_dim,kaiming_constant,dprob,tr_batch_size,val_batch_size,test_batch_size,optimizer,optimizer__global__weight_decay,optimizer__global__lr,prot,weave,gconv,ecfp8,gnn,score
8,2,[1302],1,256,5,0.18884981901414996,128,128,128,adadelta,0.00024248732453026716,0.4106583576251872,"{'model_types': ['pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 1, 'embedding_dim': 29, 'psc_dim': 8421, 'rnn_hidden_state_dim': 9}",{'update_pairs': False},{'dim': 475},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 4, 'dim': 198}",-0.34418546934039107
2,3,"[1756, 334, 1395]",1,256,5,0.1619884824536622,128,128,128,adadelta,0.0007206883168910365,0.8049648553619331,"{'model_types': ['pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 4, 'embedding_dim': 32, 'psc_dim': 8421, 'rnn_hidden_state_dim': 39}",{'update_pairs': False},{'dim': 185},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 3, 'dim': 397}",-0.34633964519350835
2,3,"[485, 1086]",1,256,5,0.47361754940321454,128,128,128,adadelta,0.00016346734933172613,0.4011465571366191,"{'model_types': ['pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 3, 'embedding_dim': 25, 'psc_dim': 8421, 'rnn_hidden_state_dim': 12}",{'update_pairs': False},{'dim': 489},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 1, 'dim': 233}",-0.35313947951132346
8,1,"[1689, 1776]",1,256,5,0.22861355974758146,128,128,128,adagrad,0.006306117317221979,0.000612974508988688,"{'model_types': ['pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 3, 'embedding_dim': 33, 'psc_dim': 8421, 'rnn_hidden_state_dim': 35}",{'update_pairs': False},{'dim': 72},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 149}",-0.3556380043817007
1,1,[178],1,512,5,0.4988328213377454,128,128,128,adagrad,0.0022204581601105895,0.0030605219161407952,"{'model_types': ['pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 2, 'embedding_dim': 21, 'psc_dim': 8421, 'rnn_hidden_state_dim': 16}",{'update_pairs': False},{'dim': 330},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 4, 'dim': 153}",-0.3893178104079865
8,2,[1302],1,256,5,0.18884981901414996,128,128,128,adadelta,0.00024248732453026716,0.4106583576251872,"{'model_types': ['pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 1, 'embedding_dim': 29, 'psc_dim': 8421, 'rnn_hidden_state_dim': 9}",{'update_pairs': False},{'dim': 475},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 4, 'dim': 198}",-0.39229468706095094
2,2,"[1992, 241]",1,256,5,0.3162853068004974,128,128,128,adamax,0.0004087995446724508,0.0026641572671298485,"{'model_types': ['pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 1, 'embedding_dim': 36, 'psc_dim': 8421, 'rnn_hidden_state_dim': 36}",{'update_pairs': False},{'dim': 501},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 193}",-0.4060732209020895
4,2,"[1962, 582]",1,512,5,0.47997525541305597,128,128,128,adagrad,0.115329502276729,0.00015183885296158827,"{'model_types': ['pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 1, 'embedding_dim': 41, 'psc_dim': 8421, 'rnn_hidden_state_dim': 6}",{'update_pairs': False},{'dim': 460},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 3, 'dim': 265}",-0.4168504363350251
4,2,[1236],1,256,5,0.2070867202062167,256,128,128,adadelta,0.0005167140271759563,0.011714675531311176,"{'model_types': ['pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 4, 'embedding_dim': 12, 'psc_dim': 8421, 'rnn_hidden_state_dim': 9}",{'update_pairs': False},{'dim': 365},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 3, 'dim': 149}",-0.4269226306789374
4,2,"[1962, 582]",1,512,5,0.47997525541305597,128,128,128,adagrad,0.115329502276729,0.00015183885296158827,"{'model_types': ['pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 1, 'embedding_dim': 41, 'psc_dim': 8421, 'rnn_hidden_state_dim': 6}",{'update_pairs': False},{'dim': 460},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 3, 'dim': 265}",-0.4444927744976697
