prot_vocab_size,attn_heads,attn_layers,lin_dims,latent_dim,disc_hdims,kaiming_constant,weighted_loss,dprob,neigh_dist,tr_batch_size,val_batch_size,test_batch_size,optimizer_gen,optimizer_gen__global__weight_decay,optimizer_gen__global__lr,optimizer_disc,optimizer_disc__global__weight_decay,optimizer_disc__global__lr,prot,weave,gconv,ecfp8,score
9048,8,1,"[1276, 1762]",256,"[1255, 464]",5,0.4686280027524796,0.1,60,256,128,128,adagrad,0.0013786056804055286,0.0013219549134058201,adamax,0.6376529910581689,0.008345638799946974,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.29679455713894926
9048,1,1,"[1696, 456, 1681]",256,[1427],5,0.4242096932099597,0.24386045683576127,45,256,128,128,adagrad,0.012490413951407276,0.0023421156907372244,sgd,0.04969866178959729,0.05243819251951756,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.29088275730326457
9048,16,1,[1849],256,[106],5,0.14075326173065533,0.10231418783689154,16,256,128,128,adadelta,0.00011798163422890696,0.02451432588466909,rmsprop,0.47865469167694524,0.0008145015153829967,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.2905010896405873
9048,1,1,"[1696, 456, 1681]",256,[1427],5,0.4242096932099597,0.24386045683576127,45,256,128,128,adagrad,0.012490413951407276,0.0023421156907372244,sgd,0.04969866178959729,0.05243819251951756,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.2900311236613349
9048,8,1,"[1820, 1917, 1647]",256,"[100, 1484]",5,0.11633974536347887,0.1,23,256,128,128,adagrad,0.0003147026160085634,0.0011312373910369875,sgd,0.022091059325964377,0.2024674407304852,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.2874250005005852
9048,4,1,"[1519, 64]",256,"[1805, 1405]",5,0.1,0.2906647621367121,28,256,128,128,adamax,0.0032750416409236525,0.0006536804340561685,sgd,0.03499663601373633,0.06037072840759368,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.28341338410551026
9048,4,1,"[309, 64]",256,[2048],5,0.1,0.276667030581635,12,256,128,128,adadelta,0.0001,0.5519100801443249,adamax,0.30815460888817164,0.1440043239313103,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.28230403434317747
9048,16,1,[1289],256,[754],5,0.1,0.268001551108282,4,256,128,128,adadelta,0.0001908641605336637,0.18023103101815016,adamax,0.15005771643777052,0.20261336322061466,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.2809638650026876
9048,4,1,"[844, 1193]",256,"[1882, 950]",5,0.1,0.1,60,256,128,128,adadelta,0.0002496572737210451,0.04989496030136417,adagrad,0.010515288183626872,0.0001,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.28058715053849564
9048,4,1,"[64, 626]",256,[893],5,0.3635895502103198,0.14729142839844359,52,256,128,128,adadelta,0.0001,0.13727249376541173,sgd,0.11294374466908558,0.0031801115570663343,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.27938500963971624
9048,2,1,"[454, 1171]",256,"[1162, 1863]",5,0.1,0.1,58,256,128,128,adagrad,0.3601367472784559,0.0004346501633038939,adam,0.04944968423918467,0.00504922903877839,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.27581547589337263
9048,16,1,[1089],256,[100],5,0.1,0.1,64,256,128,128,rmsprop,0.00130721837782114,0.0001,adadelta,0.0001,0.0001,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.2751583613927636
9048,4,1,"[269, 64]",256,[1047],5,0.1,0.1783678512802772,59,256,128,128,adam,0.0013834414350283593,0.0009748631501760153,sgd,0.046195168867013296,0.01768573646978053,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.25603485076674876
9048,8,1,"[1126, 357, 2035]",256,[100],5,0.20049023267629534,0.13843479571694636,60,256,128,128,adagrad,0.0005783663633148119,0.007807981499734421,adagrad,1.0,1.0,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.2536531622146338
9048,1,1,"[1696, 456, 1681]",256,[1427],5,0.4242096932099597,0.24386045683576127,45,256,128,128,adagrad,0.012490413951407276,0.0023421156907372244,sgd,0.04969866178959729,0.05243819251951756,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.2522328335898133
9048,16,1,"[572, 1246, 2048]",256,[289],5,0.13604836066270098,0.1,63,256,128,128,rmsprop,0.0015246086051525166,0.00011102079967127465,sgd,0.0003869353541860538,0.1791367133590153,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.2520516616307405
9048,1,1,"[1696, 456, 1681]",256,[1427],5,0.4242096932099597,0.24386045683576127,45,256,128,128,adagrad,0.012490413951407276,0.0023421156907372244,sgd,0.04969866178959729,0.05243819251951756,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.24947721398380976
9048,4,1,[1952],256,[507],5,0.1,0.1,13,256,128,128,adadelta,0.0001,0.2184526643229539,rmsprop,0.5343402332449788,0.00698659366076528,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.2463360219708895
9048,8,1,"[2037, 64]",256,[1086],5,0.1,0.21760921185823415,62,256,128,128,adagrad,0.5375742108582007,0.000654900346912702,sgd,0.001635802048723573,0.012146767918764841,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.24604724743939413
9048,1,1,"[1696, 456, 1681]",256,[1427],5,0.4242096932099597,0.24386045683576127,45,256,128,128,adagrad,0.012490413951407276,0.0023421156907372244,sgd,0.04969866178959729,0.05243819251951756,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.24444422546417333
9048,8,1,"[64, 2048, 2048]",256,[100],5,0.1,0.1,64,256,128,128,rmsprop,0.0001,0.0001,sgd,0.0001,1.0,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.23505584981153277
9048,16,1,"[1780, 2048, 1180]",256,[100],5,0.2121017711915859,0.36524943649498043,33,256,128,128,adamax,0.0001,0.0029245617441587594,sgd,1.0,0.005630672751608624,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.23378198814135467
