model,split,metric,value,stdev,mode,date,seeds
ECFP8-GNN-PSC,warm,RMSE,0.3798740741626082,0.10537776651172494,eval,2020_02_13__01_54_33,1-8-64
ECFP8-GNN-PSC,warm,CI,0.8599641642606657,0.03847079437528424,eval,2020_02_13__01_54_33,1-8-64
ECFP8-GNN-PSC,warm,R2,0.7846476058164344,0.08944582518765785,eval,2020_02_13__01_54_33,1-8-64
ECFP8-Weave-PSC,cold drug,RMSE,0.5442830138463199,0.1519768830405221,eval,2020_02_13__17_04_08,1-8-64
ECFP8-Weave-PSC,cold drug,CI,0.7656472507018066,0.07362277071752188,eval,2020_02_13__17_04_08,1-8-64
ECFP8-Weave-PSC,cold drug,R2,0.5023157734584666,0.19985840057951892,eval,2020_02_13__17_04_08,1-8-64
ECFP8-Weave-PSC,cold target,RMSE,0.6480821210626123,0.16692742116069628,eval,2020_02_13__17_04_42,1-8-64
ECFP8-Weave-PSC,cold target,CI,0.7471506502036487,0.045958811484634,eval,2020_02_13__17_04_42,1-8-64
ECFP8-Weave-PSC,cold target,R2,0.42792893941813115,0.1386197246370587,eval,2020_02_13__17_04_42,1-8-64
ECFP8-Weave-PSC,warm,RMSE,0.5175327239996644,0.1093915603425381,eval,2020_02_13__16_29_16,1-8-64
ECFP8-Weave-PSC,warm,CI,0.7968996088868735,0.039484871282173595,eval,2020_02_13__16_29_16,1-8-64
ECFP8-Weave-PSC,warm,R2,0.6097104260638312,0.11982728007481093,eval,2020_02_13__16_29_16,1-8-64
